player,team,Goals,xG,Total_Passes,Successful_Passes
Aaron Mooy,Australia,0.0,0.039191317,219.0,171.0
Aaron Ramsey,Wales,0.0,0.025361432,110.0,86.0
Abdelhamid Sabiri,Morocco,1.0,0.9068839989999999,58.0,46.0
Abdelkarim Hassan Al Haj Fadlalla,Qatar,0.0,0.27491462450000004,158.0,125.0
Abderrazak Hamdallah,Morocco,0.0,0.542996504,16.0,8.0
Abdessamad Ezzalzouli,Morocco,0.0,0.05950738,16.0,11.0
Abdou Diallo,Senegal,0.0,0.035411544,183.0,142.0
Abdul Rahman Baba,Ghana,0.0,0.0,103.0,70.0
Abdulaziz Hatem Mohammed Abdullah,Qatar,0.0,0.024495702,91.0,72.0
Abdulelah Al Amri,Saudi Arabia,0.0,0.037819926,101.0,76.0
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,0.0,0.13939861,86.0,71.0
Abdullah Mohammed Madu,Saudi Arabia,0.0,0.0,11.0,4.0
Abdulrahman Al-Obood,Saudi Arabia,0.0,0.041744728,13.0,8.0
Abolfazl Jalali,Iran,0.0,0.0,29.0,21.0
Achraf Dari,Morocco,1.0,0.4178385,107.0,96.0
Achraf Hakimi Mouh,Morocco,1.0,0.919596872,380.0,314.0
Adrien Rabiot,France,1.0,0.728120058,285.0,246.0
Agustín Canobbio Graviz,Uruguay,0.0,0.0,7.0,5.0
Ahmad Nourollahi,Iran,0.0,0.0804267816,55.0,39.0
Ahmed Alaa Eldin Abdelmotaal,Qatar,0.0,0.0,2.0,0.0
Ajdin Hrustic,Australia,0.0,0.033247408,23.0,18.0
Akram Hassan Afif,Qatar,0.0,0.029100373,166.0,141.0
Alan Steven Franco Palma,Ecuador,0.0,0.0,11.0,10.0
Alejandro Balde Martínez,Spain,0.0,0.077706024,119.0,111.0
Alejandro Darío Gómez,Argentina,0.0,0.023071868,58.0,52.0
Aleksandar Mitrović,Serbia,2.0,1.501642214,67.0,52.0
Alex Nicolao Telles,Brazil,0.0,0.0,44.0,35.0
Alex Sandro Lobo Silva,Brazil,0.0,0.021819543,169.0,150.0
Alexander Djiku,Ghana,0.0,0.0,27.0,23.0
Alexander Hartmann Bah,Denmark,0.0,0.056216941,50.0,37.0
Alexis Mac Allister,Argentina,1.0,0.5018383630000001,271.0,242.0
Ali Abdi,Tunisia,0.0,0.0,109.0,72.0
Ali Al Hassan,Saudi Arabia,0.0,0.10154356,8.0,4.0
Ali Albulayhi,Saudi Arabia,0.0,0.0,89.0,71.0
Ali Assadalla Thaimn Qambar,Qatar,0.0,0.0,23.0,22.0
Ali Gholizadeh,Iran,0.0,0.04282673,73.0,47.0
Ali Karimi,Iran,0.0,0.0,45.0,36.0
Ali Maâloul,Tunisia,0.0,0.0,61.0,39.0
Alidu Seidu,Ghana,0.0,0.015372672,75.0,60.0
Alireza Jahanbakhsh,Iran,0.0,0.154904189,16.0,11.0
