team,player,x,y,shot_statsbomb_xg,is_goal,on_target
Canada,Mark Anthony Kaye,96.5,40.7,0.038882375,False,False
Morocco,Hakim Ziyech,83.9,45.0,0.024477394,True,True
Morocco,Abdelhamid Sabiri,86.8,38.4,0.02207015,False,False
Morocco,Sofiane Boufal,107.0,48.3,0.06158555,False,False
Canada,Tajon Buchanan,113.3,34.9,0.27914461,False,False
Morocco,Hakim Ziyech,97.5,54.0,0.022624016,False,False
Morocco,Youssef En-Nesyri,107.6,53.2,0.10405799,True,True
Morocco,Abdelhamid Sabiri,107.9,34.2,0.09711841,False,False
Morocco,Youssef En-Nesyri,106.8,46.7,0.094470315,False,False
Canada,Alphonso Davies,105.1,41.2,0.051903803,False,False
Canada,Atiba Hutchinson,112.2,37.7,0.086874224,False,False
Canada,Alistair Johnston,118.8,41.6,0.638813,False,False
England,Harry Maguire,115.4,29.4,0.23307544,False,False
England,Bukayo Saka,101.1,55.3,0.028282227,False,True
England,Mason Mount,113.4,49.1,0.06697492,False,False
England,Harry Maguire,110.5,40.7,0.06988547,False,False
England,Jude Bellingham,112.0,38.0,0.08285139,True,True
England,Bukayo Saka,104.1,38.5,0.061030492,True,True
England,Raheem Sterling,111.0,42.8,0.1885282,True,True
Iran,Alireza Jahanbakhsh,106.4,48.8,0.11232807,False,False
England,Kieran Trippier,93.9,27.7,0.042866398,False,False
England,Luke Shaw,97.9,25.1,0.021548782,False,False
Iran,Saeid Ezatolahi Afagh,83.8,35.5,0.0065368367,False,False
England,Bukayo Saka,105.3,46.3,0.080026746,True,True
Iran,Mehdi Taremi,109.7,48.0,0.065701395,True,True
Iran,Mehdi Torabi,103.5,32.3,0.045791544,False,False
Iran,Ahmad Nourollahi,97.8,34.8,0.028478073,False,False
England,Marcus Rashford,109.7,47.7,0.40810898,True,True
Iran,Mehdi Taremi,105.1,54.6,0.06202265,False,False
England,Marcus Rashford,108.6,50.7,0.0776978,False,False
England,Jack Grealish,112.0,39.9,0.6262809,True,True
Iran,Sardar Azmoun,110.9,30.5,0.35130003,False,True
Iran,Mehdi Taremi,108.0,40.0,0.7835,True,True
Croatia,Ivan Perišić,102.9,23.8,0.03397081,False,False
Belgium,Yannick Ferreira Carrasco,105.3,27.8,0.05519996,False,False
Belgium,Yannick Ferreira Carrasco,117.0,29.2,0.020840297,False,False
Belgium,Dries Mertens,105.2,33.9,0.1934709,False,False
Belgium,Axel Witsel,92.7,34.9,0.025340356,False,False
Croatia,Marcelo Brozović,99.8,36.6,0.054300383,False,False
Croatia,Marko Livaja,112.2,42.5,0.104244776,False,False
Belgium,Dries Mertens,116.9,49.2,0.108029366,False,False
Croatia,Borna Sosa,94.9,25.7,0.024362085,False,False
Croatia,Ivan Perišić,108.5,38.0,0.08771692,False,False
Croatia,Josip Juranović,103.1,51.5,0.041306578,False,False
Belgium,Yannick Ferreira Carrasco,100.9,28.3,0.026916144,False,False
Belgium,Romelu Lukaku Menama,117.5,34.2,0.1189759,False,True
Croatia,Mateo Kovačić,103.9,29.2,0.07960723,False,True
Croatia,Borna Sosa,94.7,35.3,0.024012579,False,False
Belgium,Kevin De Bruyne,100.9,32.5,0.048855886,False,False
Croatia,Marcelo Brozović,100.6,37.7,0.10219261,False,True
Croatia,Luka Modrić,105.6,52.9,0.071706615,False,True
Belgium,Yannick Ferreira Carrasco,112.8,36.3,0.09935363,False,False
Belgium,Romelu Lukaku Menama,110.7,45.1,0.19960539,False,False
Belgium,Romelu Lukaku Menama,113.1,42.1,0.30245224,False,False
Croatia,Luka Modrić,106.7,39.0,0.07160131,False,True
Belgium,Kevin De Bruyne,111.9,60.4,0.0061408128,False,True
Belgium,Jan Vertonghen,112.6,36.5,0.07045005,False,False
Belgium,Thomas Meunier,110.5,53.1,0.04308796,False,False
Belgium,Romelu Lukaku Menama,115.5,43.8,0.4909717,False,False
Belgium,Romelu Lukaku Menama,117.4,37.3,0.5721495,False,True
Netherlands,Cody Mathès Gakpo,100.6,31.0,0.059259485,True,True
Ecuador,Enner Remberto Valencia Lastra,107.0,30.0,0.062208217,False,False
Ecuador,Moisés Isaac Caicedo Corozo,94.8,37.9,0.030668529,False,False
Ecuador,Michael Steveen Estrada Martínez,112.1,34.6,0.069653474,False,False
Ecuador,Enner Remberto Valencia Lastra,100.6,23.5,0.029882463,False,True
Ecuador,Enner Remberto Valencia Lastra,110.2,47.9,0.024015462,False,False
Ecuador,Angelo Smit Preciado Quiñónez,100.6,54.0,0.022953799,False,False
Ecuador,Pervis Josué Estupiñán Tenorio,112.0,44.1,0.18923391,False,False
Ecuador,Pervis Josué Estupiñán Tenorio,105.8,28.7,0.08083876,False,True
Ecuador,Enner Remberto Valencia Lastra,116.0,38.1,0.790909,True,True
Ecuador,Enner Remberto Valencia Lastra,102.0,37.5,0.09564507,False,False
Ecuador,Gonzalo Jordy Plata Jiménez,104.2,52.6,0.046335444,False,False
